https://slack.com/ssb/download-osx-universal: is reachable, Status_Code : 200
https://zoom.us/client/6.0.2.33403/zoomusInstallerFull.pkg?archType=arm64: is reachable, Status_Code : 200
https://www.sonos.com/redir/controller_software_mac2: is reachable, Status_Code : 200
https://download.teamviewer.com/download/TeamViewerHost.dmg: is reachable, Status_Code : 200
https://dl.google.com/drive-file-stream/GoogleDrive.dmg: is reachable, Status_Code : 200
https://d3gcli72yxqn2z.cloudfront.net/downloads/connect/latest/bin/ibm-aspera-connect_4.2.12.780_macOS_x86_64.pkg: is reachable, Status_Code : 200
https://sg-software.ems.autodesk.com/deploy/rv/Current_Release/MacOS-release.dmg: is reachable, Status_Code : 200
https://get.videolan.org/vlc/3.0.20/macosx/vlc-3.0.20-universal.dmg: is reachable, Status_Code : 200
https://download.scdn.co/SpotifyInstaller.zip: is reachable, Status_Code : 200
https://discord.com/api/download?platform=osx: is reachable, Status_Code : 200
https://web.whatsapp.com/desktop/mac_native/release/?configuration=Release: is reachable, Status_Code : 200
https://cdn.wacom.com/u/productsupport/drivers/mac/professional/WacomTablet_6.4.5-3.dmg: is reachable, Status_Code : 200
https://builds.parsec.app/package/parsec-macos.pkg: is reachable, Status_Code : 200
